utc,open,close,high,low,volume
2023-10-12T19:00:00.000000,0.81,0.81,0.81,0.81,39
2023-10-12T19:10:00.000000,0.8,0.81,0.81,0.8,1284
2023-10-12T19:20:00.000000,0.81,0.79,0.81,0.79,1198
2023-10-12T19:30:00.000000,0.8,0.81,0.81,0.8,1116
2023-10-12T19:40:00.000000,0.81,0.81,0.81,0.81,1203
2023-10-12T19:50:00.000000,0.81,0.8,0.81,0.79,24586
2023-10-12T20:00:00.000000,0.8,0.81,0.81,0.79,57900
2023-10-12T20:10:00.000000,0.81,0.82,0.82,0.8,1047
2023-10-12T20:20:00.000000,0.82,0.83,0.83,0.82,521
2023-10-12T20:30:00.000000,0.83,0.83,0.83,0.83,9
2023-10-12T20:40:00.000000,0.83,0.83,0.83,0.83,165
2023-10-12T20:50:00.000000,0.83,0.82,0.83,0.81,611
2023-10-12T21:00:00.000000,0.82,0.83,0.83,0.81,598
2023-10-12T21:10:00.000000,0.83,0.83,0.83,0.83,20
2023-10-12T21:20:00.000000,0.83,0.81,0.83,0.81,1656
2023-10-12T21:30:00.000000,0.81,0.81,0.81,0.81,31
2023-10-12T21:40:00.000000,0.81,0.81,0.81,0.81,1021
2023-10-12T21:50:00.000000,0.83,0.83,0.83,0.83,12
2023-10-12T22:00:00.000000,0.83,0.8,0.83,0.78,1099
2023-10-12T22:10:00.000000,0.8,0.83,0.83,0.8,57
2023-10-12T22:20:00.000000,0.81,0.81,0.81,0.81,97
2023-10-12T22:30:00.000000,0.82,0.82,0.82,0.82,46
2023-10-12T22:40:00.000000,0.82,0.82,0.82,0.82,51
2023-10-13T11:30:00.000000,0.85,0.84,0.85,0.82,1562
2023-10-13T11:40:00.000000,0.84,0.84,0.85,0.82,440
2023-10-13T11:50:00.000000,0.84,0.83,0.84,0.83,1831
2023-10-13T12:00:00.000000,0.83,0.83,0.83,0.82,1733
2023-10-13T12:10:00.000000,0.83,0.82,0.83,0.8,2050
2023-10-13T12:20:00.000000,0.81,0.8,0.82,0.8,282
2023-10-13T12:30:00.000000,0.81,0.83,0.83,0.81,646
2023-10-13T12:40:00.000000,0.82,0.83,0.83,0.81,1877
2023-10-13T12:50:00.000000,0.82,0.84,0.84,0.82,2945
2023-10-13T13:00:00.000000,0.84,0.83,0.84,0.82,7608
2023-10-13T13:10:00.000000,0.83,0.84,0.84,0.83,2217
2023-10-13T13:20:00.000000,0.83,0.82,0.84,0.81,4299
2023-10-13T13:30:00.000000,0.83,0.83,0.84,0.81,8681
2023-10-13T13:40:00.000000,0.83,0.82,0.83,0.79,23697
2023-10-13T13:50:00.000000,0.79,0.8,0.82,0.79,25718
2023-10-13T14:00:00.000000,0.8,0.8,0.8,0.8,13848
2023-10-13T14:10:00.000000,0.8,0.79,0.8,0.79,25105
2023-10-13T14:20:00.000000,0.8,0.8,0.81,0.8,38555
2023-10-13T14:30:00.000000,0.8,0.8,0.8,0.8,11259
2023-10-13T14:40:00.000000,0.8,0.8,0.8,0.8,3972
2023-10-13T14:50:00.000000,0.8,0.8,0.8,0.8,1060
2023-10-13T15:00:00.000000,0.8,0.8,0.8,0.8,172
2023-10-13T15:10:00.000000,0.8,0.8,0.8,0.79,2671
2023-10-13T15:20:00.000000,0.8,0.79,0.8,0.79,13295
2023-10-13T15:30:00.000000,0.8,0.78,0.8,0.78,2697
2023-10-13T15:40:00.000000,0.79,0.78,0.79,0.78,835
2023-10-13T15:50:00.000000,0.78,0.79,0.79,0.78,6150
2023-10-13T16:00:00.000000,0.79,0.79,0.79,0.78,274
2023-10-13T16:10:00.000000,0.78,0.78,0.79,0.78,3404
2023-10-13T16:20:00.000000,0.78,0.76,0.78,0.75,13080
2023-10-13T16:30:00.000000,0.76,0.77,0.77,0.76,2465
2023-10-13T16:40:00.000000,0.76,0.76,0.77,0.76,2774
2023-10-13T16:50:00.000000,0.76,0.75,0.77,0.75,7767
2023-10-13T17:00:00.000000,0.77,0.76,0.77,0.75,667
2023-10-13T17:10:00.000000,0.76,0.76,0.76,0.75,3848
2023-10-13T17:20:00.000000,0.76,0.76,0.76,0.75,3025
2023-10-13T17:30:00.000000,0.76,0.75,0.76,0.75,74
2023-10-13T17:40:00.000000,0.75,0.75,0.76,0.74,2353
2023-10-13T17:50:00.000000,0.75,0.74,0.75,0.74,4314
2023-10-13T18:00:00.000000,0.75,0.73,0.75,0.73,1466
2023-10-13T18:10:00.000000,0.74,0.73,0.74,0.72,25922
2023-10-13T18:20:00.000000,0.73,0.74,0.75,0.73,7214
2023-10-13T18:30:00.000000,0.75,0.74,0.75,0.74,4723
2023-10-13T18:40:00.000000,0.74,0.74,0.74,0.74,241
2023-10-13T18:50:00.000000,0.74,0.74,0.74,0.73,2317
2023-10-13T19:00:00.000000,0.75,0.75,0.75,0.74,336
2023-10-13T19:10:00.000000,0.74,0.73,0.74,0.73,1339
2023-10-13T19:20:00.000000,0.74,0.74,0.74,0.73,909
2023-10-13T19:30:00.000000,0.74,0.74,0.74,0.73,434
2023-10-13T19:40:00.000000,0.73,0.73,0.74,0.73,2305
2023-10-13T19:50:00.000000,0.74,0.73,0.74,0.73,6791
2023-10-13T20:00:00.000000,0.73,0.73,0.74,0.73,33976
2023-10-13T20:10:00.000000,0.73,0.73,0.74,0.73,918
2023-10-13T20:20:00.000000,0.72,0.72,0.73,0.72,2744
2023-10-13T20:30:00.000000,0.72,0.72,0.73,0.72,2340
2023-10-13T20:40:00.000000,0.73,0.73,0.73,0.73,114
2023-10-13T20:50:00.000000,0.73,0.73,0.73,0.72,374
2023-10-13T21:00:00.000000,0.73,0.74,0.74,0.73,2927
2023-10-13T21:10:00.000000,0.74,0.74,0.74,0.73,49
2023-10-13T21:20:00.000000,0.74,0.74,0.74,0.74,194
2023-10-13T21:30:00.000000,0.74,0.73,0.74,0.73,725
2023-10-13T21:40:00.000000,0.74,0.74,0.74,0.74,1
2023-10-13T22:00:00.000000,0.73,0.73,0.73,0.73,50
2023-10-13T22:10:00.000000,0.74,0.74,0.74,0.74,10
2023-10-13T22:20:00.000000,0.74,0.74,0.74,0.74,2
2023-10-16T11:30:00.000000,0.74,0.74,0.74,0.74,535
2023-10-16T11:40:00.000000,0.74,0.73,0.74,0.73,678
2023-10-16T11:50:00.000000,0.74,0.76,0.76,0.73,1950
2023-10-16T12:00:00.000000,0.76,0.76,0.76,0.76,424
2023-10-16T12:10:00.000000,0.76,0.75,0.76,0.75,619
2023-10-16T12:20:00.000000,0.76,0.76,0.76,0.76,12
2023-10-16T12:30:00.000000,0.75,0.76,0.76,0.75,3590
2023-10-16T12:40:00.000000,0.76,0.81,0.81,0.75,3616
2023-10-16T12:50:00.000000,0.76,0.75,0.79,0.75,493
2023-10-16T13:00:00.000000,0.78,0.79,0.79,0.75,326
2023-10-16T13:10:00.000000,0.79,0.79,0.79,0.79,474
2023-10-16T13:20:00.000000,0.79,0.75,0.8,0.75,5809
2023-10-16T13:30:00.000000,0.78,0.74,0.78,0.73,25221
2023-10-16T13:40:00.000000,0.74,0.73,0.75,0.73,1176
2023-10-16T13:50:00.000000,0.73,0.73,0.74,0.72,1314
2023-10-16T14:00:00.000000,0.74,0.71,0.74,0.71,6875
2023-10-16T14:10:00.000000,0.71,0.72,0.73,0.71,2757
2023-10-16T14:20:00.000000,0.71,0.72,0.73,0.7,3564
2023-10-16T14:30:00.000000,0.72,0.71,0.73,0.7,3540
2023-10-16T14:40:00.000000,0.71,0.72,0.75,0.71,5437
2023-10-16T14:50:00.000000,0.71,0.72,0.75,0.71,4064
2023-10-16T15:00:00.000000,0.72,0.73,0.73,0.7,4284
2023-10-16T15:10:00.000000,0.73,0.72,0.73,0.71,2546
2023-10-16T15:20:00.000000,0.72,0.72,0.72,0.72,163
2023-10-16T15:30:00.000000,0.72,0.72,0.72,0.71,174
2023-10-16T15:40:00.000000,0.72,0.72,0.72,0.71,892
2023-10-16T15:50:00.000000,0.72,0.72,0.73,0.72,1514
2023-10-16T16:00:00.000000,0.73,0.75,0.75,0.73,52
2023-10-16T16:10:00.000000,0.74,0.73,0.75,0.73,280
2023-10-16T16:20:00.000000,0.75,0.75,0.75,0.74,15
2023-10-16T16:30:00.000000,0.74,0.74,0.74,0.74,12
2023-10-16T16:40:00.000000,0.75,0.77,0.84,0.74,8851
2023-10-16T16:50:00.000000,0.77,0.79,0.79,0.76,1536
2023-10-16T17:00:00.000000,0.79,0.78,0.79,0.78,5097
2023-10-16T17:10:00.000000,0.75,0.78,0.78,0.75,1168
2023-10-16T17:20:00.000000,0.78,0.76,0.78,0.76,3470
2023-10-16T17:30:00.000000,0.76,0.76,0.76,0.76,100
2023-10-16T17:40:00.000000,0.76,0.77,0.78,0.76,3298
2023-10-16T17:50:00.000000,0.77,0.78,0.78,0.77,5850
2023-10-16T18:00:00.000000,0.77,0.78,0.78,0.75,861
2023-10-16T18:10:00.000000,0.78,0.76,0.78,0.76,933
2023-10-16T18:20:00.000000,0.77,0.78,0.78,0.77,291
2023-10-16T18:30:00.000000,0.77,0.77,0.78,0.76,509
2023-10-16T18:40:00.000000,0.77,0.77,0.77,0.77,305
