datetime,budget,strategy
2024-07-17 07:07:00,11623.873594666684,wait
2024-07-17 07:08:00,11623.873594666684,wait
2024-07-17 07:09:00,11623.873594666684,wait
2024-07-17 07:10:00,11623.873594666684,wait
2024-07-17 07:11:00,11623.873594666684,wait
2024-07-17 07:12:00,11623.873594666684,long
2024-07-17 07:13:00,11641.016346666685,wait
2024-07-17 07:14:00,11641.016346666685,wait
2024-07-17 07:15:00,11641.016346666685,wait
2024-07-17 07:16:00,11641.016346666685,wait
2024-07-17 07:17:00,11641.016346666685,wait
2024-07-17 07:18:00,11641.016346666685,wait
2024-07-17 07:19:00,11641.016346666685,wait
2024-07-17 07:20:00,11641.016346666685,wait
2024-07-17 07:21:00,11641.016346666685,wait
2024-07-17 07:22:00,11641.016346666685,wait
2024-07-17 07:23:00,11641.016346666685,wait
2024-07-17 07:24:00,11641.016346666685,wait
2024-07-17 07:25:00,11641.016346666685,wait
2024-07-17 07:26:00,11641.016346666685,wait
2024-07-17 07:28:00,11641.016346666685,wait
2024-07-17 07:29:00,11641.016346666685,wait
2024-07-17 07:30:00,11641.016346666685,wait
2024-07-17 07:31:00,11641.016346666685,wait
2024-07-17 07:32:00,11641.016346666685,wait
2024-07-17 07:33:00,11641.016346666685,wait
2024-07-17 07:34:00,11641.016346666685,wait
2024-07-17 07:35:00,11641.016346666685,wait
2024-07-17 07:36:00,11641.016346666685,wait
2024-07-17 07:37:00,11641.016346666685,wait
2024-07-17 07:38:00,11641.016346666685,wait
2024-07-17 07:39:00,11641.016346666685,wait
2024-07-17 07:40:00,11641.016346666685,wait
2024-07-17 07:41:00,11641.016346666685,wait
2024-07-17 07:42:00,11641.016346666685,wait
2024-07-17 07:43:00,11641.016346666685,wait
2024-07-17 07:44:00,11641.016346666685,wait
2024-07-17 07:45:00,11641.016346666685,wait
2024-07-17 07:46:00,11641.016346666685,wait
2024-07-17 07:47:00,11641.016346666685,wait
2024-07-17 07:48:00,11641.016346666685,wait
2024-07-17 07:49:00,11641.016346666685,wait
2024-07-17 07:50:00,11641.016346666685,wait
2024-07-17 07:51:00,11641.016346666685,wait
2024-07-17 07:52:00,11641.016346666685,wait
2024-07-17 07:53:00,11641.016346666685,wait
2024-07-17 07:54:00,11641.016346666685,wait
